model,modelAge,name,age,mileage,state,owners,bodyType,numberOfDoors,fuelType,vehicleTransmission,drive,color,equipment,price,engineDisplacement,enginePower,technicalPassport
3ER,15,325i,14,203000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,410000,2.5,218,1
X6,13,35i,12,170000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,935000,3.0,306,1
1ER,13,116i,12,270000,не битый,1,hatchback,5,petrol,AT,rwd,red,Базовая,480000,1.6,115,1
5ER,7,520i,5,83400,не битый,2,sedan,4,petrol,AT,rwd,brown,M Sport Локальная сборка,1830000,2.0,184,1
X6,13,40d,10,75000,не битый,2,SUV,5,diesel,AT,4wd,dark_blue,Базовая,1489000,3.0,306,1
2ER,6,220i,3,30335,не битый,1,coupe,2,petrol,AT,rwd,black,Базовая,1450000,2.0,184,1
5ER,25,523i,22,369855,не битый,3,sedan,4,petrol,MT,rwd,grey,Базовая,250000,2.5,170,1
7ER,5,730Ld,5,90000,не битый,1,sedan,4,diesel,AT,4wd,black,Exclusive,2899000,3.0,265,1
5ER,4,520d,1,29833,не битый,1,sedan,4,diesel,AT,4wd,black,Base,2575000,2.0,190,1
X5,7,30d,2,33000,не битый,1,SUV,5,diesel,AT,4wd,silver,M Sport,3800000,3.0,249,1
5ER,11,530d,8,142000,не битый,3,sedan,4,diesel,AT,4wd,black,,1450000,3.0,258,1
X5,17,None,15,191100,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,655000,3.0,231,1
X3,10,20i,6,42390,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1400000,2.0,184,1
3ER,22,328i,22,214000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,360000,2.8,193,1
M5,3,None,1,10000,не битый,2,sedan,4,petrol,AT,4wd,black,Базовая,6900000,4.4,625,1
X3,14,25i,13,230000,не битый,3,SUV,5,petrol,AT,4wd,black,Lifestyle,550000,2.5,218,1
7ER,22,740i,21,96000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,125000,4.4,286,1
3ER,12,320i,10,200000,не битый,3,sedan,4,petrol,AT,rwd,black,SE,630000,2.0,156,1
X6,6,30d,3,31400,не битый,1,SUV,5,diesel,AT,4wd,grey,Luxury,5120000,3.0,249,1
X5,7,40d,4,77777,не битый,2,SUV,5,diesel,AT,4wd,white,M Sport Experience,3285000,3.0,313,1
3ER,12,325xi,7,107167,не битый,2,coupe,2,petrol,AT,4wd,black,,998000,2.5,218,1
5ER,18,525d,16,370000,не битый,3,sedan,4,diesel,AT,rwd,green,Базовая,500000,2.5,177,1
3ER,12,320i,7,116449,не битый,2,coupe,2,petrol,AT,rwd,dark_blue,SE,685000,2.0,156,1
8ER,2,M850i,1,70,не битый,1,cabriolet,2,petrol,AT,4wd,dark_blue,Base,8455000,4.4,530,1
X6,8,None,7,177000,не битый,2,SUV,5,petrol,AT,4wd,dark_blue,,1590000,4.4,555,1
X5,7,30d,4,74850,не битый,3,SUV,5,diesel,AT,4wd,white,M Sport,2790000,3.0,249,1
M5,16,None,13,155459,не битый,3,sedan,4,petrol,AM,rwd,silver,Базовая,1500000,5.0,507,1
X3,3,20i,1,22656,не битый,1,SUV,5,petrol,AT,4wd,black,Luxury,3033000,2.0,184,1
5ER,11,528i,8,116000,не битый,1,sedan,4,petrol,AT,4wd,biege,Business,1100000,2.0,245,1
X5,14,None,12,196000,не битый,2,SUV,5,petrol,AT,4wd,biege,Базовая,890000,3.0,264,1
5ER,4,530i,3,105000,не битый,1,sedan,4,petrol,AT,4wd,grey,Luxury,2500000,2.0,249,1
X5,7,25d,3,99000,не битый,1,SUV,5,diesel,AT,4wd,white,Business,2650000,3.0,218,1
X6,13,35i,8,99824,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Базовая,1400000,3.0,306,1
5ER,25,523i,22,431500,не битый,3,sedan,4,petrol,AT,rwd,green,,275000,2.5,170,1
5ER,11,528i,9,178000,не битый,3,sedan,4,petrol,AT,rwd,grey,Luxury,950000,3.0,258,1
6ER,9,650i,8,30000,не битый,1,coupe,2,petrol,AT,rwd,black,Базовая,1900000,4.4,407,1
6ER,17,650i,13,118000,не битый,3,coupe,2,petrol,AT,rwd,grey,Базовая,800000,4.8,367,1
5ER,13,530i,12,127040,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,629000,3.0,272,1
X5,7,35i,4,56000,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Pure Excellence,2540000,3.0,306,1
7ER,5,730Ld,5,90000,не битый,1,sedan,4,diesel,AT,4wd,black,Exclusive,2899000,3.0,265,1
X5,14,30i,12,208545,не битый,2,SUV,5,petrol,AT,4wd,black,Базовая,950000,3.0,264,1
3ER,15,325xi,14,204000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,480000,2.5,218,1
3ER,22,325i,18,173000,не битый,3,coupe,2,petrol,AT,rwd,dark_blue,Базовая,515000,2.5,192,1
7ER,12,740Li,12,149000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,750000,3.0,326,1
1ER,13,116i,12,125994,не битый,3,hatchback,3,petrol,AT,rwd,biege,Базовая,485000,1.6,115,1
2ER,6,220i,3,30335,не битый,1,coupe,2,petrol,AT,rwd,black,Базовая,1450000,2.0,184,1
X6,6,30d,2,39324,не битый,1,SUV,5,diesel,AT,4wd,white,,3935000,3.0,249,1
7ER,19,735Li,17,108000,не битый,1,sedan,4,petrol,AT,rwd,black,Базовая,360000,3.6,272,1
3ER,9,328i,9,229600,не битый,3,sedan,4,petrol,AT,rwd,white,,1070000,2.0,245,1
X5,6,None,4,50000,не битый,2,SUV,5,petrol,AT,4wd,grey,M,4500000,4.4,575,1
X5,6,None,5,88500,не битый,2,SUV,5,petrol,AT,4wd,blue,,3690000,4.4,575,1
3ER,2,320d,1,5146,не битый,1,sedan,4,diesel,AT,rwd,grey,Base,2525000,2.0,190,1
1ER,13,118i,13,149000,не битый,3,hatchback,5,petrol,AT,rwd,grey,,379000,2.0,136,1
5ER,7,520i,5,83400,не битый,2,sedan,4,petrol,AT,rwd,brown,M Sport Локальная сборка,1830000,2.0,184,1
X5,7,30d,2,33000,не битый,1,SUV,5,diesel,AT,4wd,silver,M Sport,3800000,3.0,249,1
1ER,9,116i,8,132000,не битый,3,hatchback,5,petrol,AT,rwd,black,Базовая,685000,1.6,136,1
X6,6,30d,4,103000,не битый,1,SUV,5,diesel,AT,4wd,black,,3100000,3.0,249,1
3ER,22,328i,22,214000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,360000,2.8,193,1
X6,13,40d,10,75000,не битый,2,SUV,5,diesel,AT,4wd,dark_blue,Базовая,1489000,3.0,306,1
X6,8,35i,7,112000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1499000,3.0,306,1
5ER,25,523i,22,369855,не битый,3,sedan,4,petrol,MT,rwd,grey,Базовая,250000,2.5,170,1
3ER,15,325i,14,203000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,410000,2.5,218,1
5ER,7,520i,7,143000,не битый,2,sedan,4,petrol,AT,rwd,black,,1230000,2.0,184,1
1ER,13,116i,12,270000,не битый,1,hatchback,5,petrol,AT,rwd,red,Базовая,480000,1.6,115,1
X3,10,20d,6,93168,не битый,1,SUV,5,diesel,AT,4wd,blue,Базовая,1457000,2.0,184,1
3ER,12,320i,10,200000,не битый,3,sedan,4,petrol,AT,rwd,black,SE,630000,2.0,156,1
5ER,4,520d,1,29833,не битый,1,sedan,4,diesel,AT,4wd,black,Base,2575000,2.0,190,1
X3,10,20i,6,42390,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1400000,2.0,184,1
5ER,4,530i,3,105000,не битый,1,sedan,4,petrol,AT,4wd,grey,Luxury,2500000,2.0,249,1
X3,14,25i,13,230000,не битый,3,SUV,5,petrol,AT,4wd,black,Lifestyle,550000,2.5,218,1
3ER,12,325i,9,145227,не битый,3,sedan,4,petrol,AT,rwd,dark_blue,,652000,2.5,218,1
X5,7,40d,4,77777,не битый,2,SUV,5,diesel,AT,4wd,white,M Sport Experience,3285000,3.0,313,1
X6,6,30d,3,31400,не битый,1,SUV,5,diesel,AT,4wd,grey,Luxury,5120000,3.0,249,1
3ER,22,325i,18,173000,не битый,3,coupe,2,petrol,AT,rwd,dark_blue,Базовая,515000,2.5,192,1
X5,14,None,12,196000,не битый,2,SUV,5,petrol,AT,4wd,biege,Базовая,890000,3.0,264,1
X3,3,20i,1,22656,не битый,1,SUV,5,petrol,AT,4wd,black,Luxury,3033000,2.0,184,1
X4,6,20d,5,101701,не битый,2,SUV,5,diesel,AT,4wd,black,,1590000,2.0,190,1
X5,7,30d,4,74850,не битый,3,SUV,5,diesel,AT,4wd,white,M Sport,2790000,3.0,249,1
5ER,11,530d,8,142000,не битый,3,sedan,4,diesel,AT,4wd,black,,1450000,3.0,258,1
5ER,11,528i,8,116000,не битый,1,sedan,4,petrol,AT,4wd,biege,Business,1100000,2.0,245,1
X6,13,35i,12,170000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,935000,3.0,306,1
7ER,22,740i,21,96000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,125000,4.4,286,1
M5,16,None,13,155459,не битый,3,sedan,4,petrol,AM,rwd,silver,Базовая,1500000,5.0,507,1
X3,10,28i,9,90000,не битый,2,SUV,5,petrol,AT,4wd,silver,,899000,3.0,258,1
5ER,18,525d,16,370000,не битый,3,sedan,4,diesel,AT,rwd,green,Базовая,500000,2.5,177,1
M5,3,None,1,10000,не битый,2,sedan,4,petrol,AT,4wd,black,Базовая,6900000,4.4,625,1
X5,17,None,15,191100,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,655000,3.0,231,1
X6,13,35i,8,99824,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Базовая,1400000,3.0,306,1
7ER,19,730d,17,280000,не битый,3,sedan,4,diesel,AT,rwd,black,Базовая,530000,3.0,218,1
X5,7,25d,3,37507,не битый,1,SUV,5,diesel,AT,4wd,white,Business,2995000,3.0,218,1
6ER,9,650i,8,30000,не битый,1,coupe,2,petrol,AT,rwd,black,Базовая,1900000,4.4,407,1
6ER,17,650i,13,118000,не битый,3,coupe,2,petrol,AT,rwd,grey,Базовая,800000,4.8,367,1
5ER,13,530i,12,127040,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,629000,3.0,272,1
X5,7,35i,4,56000,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Pure Excellence,2540000,3.0,306,1
7ER,5,740Li,4,52600,не битый,2,sedan,4,petrol,AT,4wd,grey,Luxury,3500000,3.0,326,1
3ER,9,320i,8,160876,не битый,1,sedan,4,petrol,AT,rwd,grey,Базовая,849000,2.0,184,1
4ER,3,430i,1,9136,не битый,1,hatchback,5,petrol,AT,4wd,dark_blue,Base,2800000,2.0,249,1
X1,11,20d,9,172000,не битый,3,SUV,5,diesel,AT,4wd,brown,Lifestyle,725000,2.0,177,1
M5,22,None,21,213000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,1100000,4.9,400,1
5ER,25,523i,24,235000,не битый,2,sedan,4,petrol,AT,rwd,green,Базовая,259000,2.5,170,1
7ER,5,730Ld,5,90000,не битый,1,sedan,4,diesel,AT,4wd,black,Exclusive,2899000,3.0,265,1
X5,14,30i,12,208545,не битый,2,SUV,5,petrol,AT,4wd,black,Базовая,950000,3.0,264,1
3ER,15,325xi,14,204000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,480000,2.5,218,1
X5,6,None,5,88500,не битый,2,SUV,5,petrol,AT,4wd,blue,,3690000,4.4,575,1
X6,6,M50d,5,56000,не битый,2,SUV,5,diesel,AT,4wd,black,Базовая,3700000,3.0,381,1
7ER,8,750Li,7,122000,не битый,3,sedan,4,petrol,AT,4wd,black,Базовая,1070000,4.4,450,1
2ER,6,220i,3,30335,не битый,1,coupe,2,petrol,AT,rwd,black,Базовая,1450000,2.0,184,1
X6,6,30d,2,39324,не битый,1,SUV,5,diesel,AT,4wd,white,,3935000,3.0,249,1
7ER,19,735Li,17,108000,не битый,1,sedan,4,petrol,AT,rwd,black,Базовая,360000,3.6,272,1
3ER,2,320d,1,5146,не битый,1,sedan,4,diesel,AT,rwd,grey,Base,2525000,2.0,190,1
1ER,13,118i,13,149000,не битый,3,hatchback,5,petrol,AT,rwd,grey,,379000,2.0,136,1
5ER,7,520i,5,83400,не битый,2,sedan,4,petrol,AT,rwd,brown,M Sport Локальная сборка,1830000,2.0,184,1
X5,7,30d,2,33000,не битый,1,SUV,5,diesel,AT,4wd,silver,M Sport,3800000,3.0,249,1
1ER,9,116i,8,132000,не битый,3,hatchback,5,petrol,AT,rwd,black,Базовая,685000,1.6,136,1
X6,6,30d,4,103000,не битый,1,SUV,5,diesel,AT,4wd,black,,3100000,3.0,249,1
3ER,22,328i,22,214000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,360000,2.8,193,1
X6,13,40d,10,75000,не битый,2,SUV,5,diesel,AT,4wd,dark_blue,Базовая,1489000,3.0,306,1
X6,8,35i,7,112000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1499000,3.0,306,1
5ER,25,523i,22,369855,не битый,3,sedan,4,petrol,MT,rwd,grey,Базовая,250000,2.5,170,1
3ER,15,325i,14,203000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,410000,2.5,218,1
5ER,7,520i,7,143000,не битый,2,sedan,4,petrol,AT,rwd,black,,1230000,2.0,184,1
1ER,13,116i,12,270000,не битый,1,hatchback,5,petrol,AT,rwd,red,Базовая,480000,1.6,115,1
X3,10,20d,6,93168,не битый,1,SUV,5,diesel,AT,4wd,blue,Базовая,1457000,2.0,184,1
3ER,12,320i,10,200000,не битый,3,sedan,4,petrol,AT,rwd,black,SE,630000,2.0,156,1
5ER,4,520d,1,29833,не битый,1,sedan,4,diesel,AT,4wd,black,Base,2575000,2.0,190,1
X3,10,20i,6,42390,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1400000,2.0,184,1
5ER,4,530i,3,105000,не битый,1,sedan,4,petrol,AT,4wd,grey,Luxury,2500000,2.0,249,1
X3,14,25i,13,230000,не битый,3,SUV,5,petrol,AT,4wd,black,Lifestyle,550000,2.5,218,1
3ER,12,325i,9,145227,не битый,3,sedan,4,petrol,AT,rwd,dark_blue,,652000,2.5,218,1
X5,7,40d,4,77777,не битый,2,SUV,5,diesel,AT,4wd,white,M Sport Experience,3285000,3.0,313,1
X6,6,30d,3,31400,не битый,1,SUV,5,diesel,AT,4wd,grey,Luxury,5120000,3.0,249,1
3ER,22,325i,18,173000,не битый,3,coupe,2,petrol,AT,rwd,dark_blue,Базовая,515000,2.5,192,1
X5,14,None,12,196000,не битый,2,SUV,5,petrol,AT,4wd,biege,Базовая,890000,3.0,264,1
X3,3,20i,1,22656,не битый,1,SUV,5,petrol,AT,4wd,black,Luxury,3033000,2.0,184,1
X4,6,20d,5,101701,не битый,2,SUV,5,diesel,AT,4wd,black,,1590000,2.0,190,1
X5,7,30d,4,74850,не битый,3,SUV,5,diesel,AT,4wd,white,M Sport,2790000,3.0,249,1
5ER,11,530d,8,142000,не битый,3,sedan,4,diesel,AT,4wd,black,,1450000,3.0,258,1
5ER,11,528i,8,116000,не битый,1,sedan,4,petrol,AT,4wd,biege,Business,1100000,2.0,245,1
7ER,22,740i,21,96000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,125000,4.4,286,1
M5,16,None,13,155459,не битый,3,sedan,4,petrol,AM,rwd,silver,Базовая,1500000,5.0,507,1
X3,10,28i,9,90000,не битый,2,SUV,5,petrol,AT,4wd,silver,,899000,3.0,258,1
5ER,18,525d,16,370000,не битый,3,sedan,4,diesel,AT,rwd,green,Базовая,500000,2.5,177,1
M5,3,None,1,10000,не битый,2,sedan,4,petrol,AT,4wd,black,Базовая,6900000,4.4,625,1
X5,17,None,15,191100,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,655000,3.0,231,1
X6,13,35i,8,99824,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Базовая,1400000,3.0,306,1
6ER,9,650i,8,30000,не битый,1,coupe,2,petrol,AT,rwd,black,Базовая,1900000,4.4,407,1
6ER,17,650i,13,118000,не битый,3,coupe,2,petrol,AT,rwd,grey,Базовая,800000,4.8,367,1
5ER,13,530i,12,127040,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,629000,3.0,272,1
X5,7,35i,4,56000,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Pure Excellence,2540000,3.0,306,1
3ER,15,325xi,14,204000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,480000,2.5,218,1
1ER,9,116i,8,132000,не битый,3,hatchback,5,petrol,AT,rwd,black,Базовая,685000,1.6,136,1
4ER,3,430i,1,9136,не битый,1,hatchback,5,petrol,AT,4wd,dark_blue,Base,2800000,2.0,249,1
X5,17,None,16,260000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,420000,4.8,360,1
X5,7,30d,5,98700,не битый,2,SUV,5,diesel,AT,4wd,grey,M Sport,2650000,3.0,249,1
X3,6,20i,3,35000,не битый,1,SUV,5,petrol,AT,4wd,white,M Sport,1875000,2.0,184,1
X6,6,30d,4,103000,не битый,1,SUV,5,diesel,AT,4wd,black,,3100000,3.0,249,1
X3,10,20d,6,93168,не битый,1,SUV,5,diesel,AT,4wd,blue,Базовая,1457000,2.0,184,1
X6,6,30d,2,39324,не битый,1,SUV,5,diesel,AT,4wd,white,,3935000,3.0,249,1
5ER,32,540i,31,230000,не битый,3,sedan,4,petrol,MT,rwd,red,Базовая,350000,4.0,286,1
M5,22,None,21,213000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,1100000,4.9,400,1
7ER,12,740Li,12,149000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,750000,3.0,326,1
X4,6,20d,5,101701,не битый,2,SUV,5,diesel,AT,4wd,black,,1590000,2.0,190,1
3ER,2,320d,1,5146,не битый,1,sedan,4,diesel,AT,rwd,grey,Base,2525000,2.0,190,1
7ER,19,735Li,17,108000,не битый,1,sedan,4,petrol,AT,rwd,black,Базовая,360000,3.6,272,1
X5,14,30i,12,208545,не битый,2,SUV,5,petrol,AT,4wd,black,Базовая,950000,3.0,264,1
X6,8,35i,7,112000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1499000,3.0,306,1
3ER,15,325i,14,203000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,410000,2.5,218,1
X6,13,35i,12,170000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,935000,3.0,306,1
3ER,22,325i,18,173000,не битый,3,coupe,2,petrol,AT,rwd,dark_blue,Базовая,515000,2.5,192,1
3ER,9,320i,8,160876,не битый,1,sedan,4,petrol,AT,rwd,grey,Базовая,849000,2.0,184,1
1ER,13,116i,12,270000,не битый,1,hatchback,5,petrol,AT,rwd,red,Базовая,480000,1.6,115,1
5ER,7,520i,5,83400,не битый,2,sedan,4,petrol,AT,rwd,brown,M Sport Локальная сборка,1830000,2.0,184,1
X6,13,40d,10,75000,не битый,2,SUV,5,diesel,AT,4wd,dark_blue,Базовая,1489000,3.0,306,1
2ER,6,220i,3,30335,не битый,1,coupe,2,petrol,AT,rwd,black,Базовая,1450000,2.0,184,1
7ER,5,740Li,4,52600,не битый,2,sedan,4,petrol,AT,4wd,grey,Luxury,3500000,3.0,326,1
5ER,25,523i,22,369855,не битый,3,sedan,4,petrol,MT,rwd,grey,Базовая,250000,2.5,170,1
X5,17,None,15,191100,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,655000,3.0,231,1
7ER,5,730Ld,5,90000,не битый,1,sedan,4,diesel,AT,4wd,black,Exclusive,2899000,3.0,265,1
5ER,4,520d,1,29833,не битый,1,sedan,4,diesel,AT,4wd,black,Base,2575000,2.0,190,1
X5,7,35i,4,56000,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Pure Excellence,2540000,3.0,306,1
5ER,4,520d,1,29833,не битый,1,sedan,4,diesel,AT,4wd,black,Base,2575000,2.0,190,1
X5,7,40d,4,77777,не битый,2,SUV,5,diesel,AT,4wd,white,M Sport Experience,3285000,3.0,313,1
X6,6,30d,3,31400,не битый,1,SUV,5,diesel,AT,4wd,grey,Luxury,5120000,3.0,249,1
X6,6,30d,4,103000,не битый,1,SUV,5,diesel,AT,4wd,black,,3100000,3.0,249,1
X4,6,20d,5,101701,не битый,2,SUV,5,diesel,AT,4wd,black,,1590000,2.0,190,1
X3,10,20d,6,93168,не битый,1,SUV,5,diesel,AT,4wd,blue,Базовая,1457000,2.0,184,1
X5,17,None,16,260000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,420000,4.8,360,1
7ER,12,740Li,12,149000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,750000,3.0,326,1
X1,8,20i,7,98000,не битый,1,SUV,5,petrol,AT,4wd,biege,Business,939000,2.0,184,1
3ER,22,325i,18,173000,не битый,3,coupe,2,petrol,AT,rwd,dark_blue,Базовая,515000,2.5,192,1
X6,13,35i,12,170000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,935000,3.0,306,1
5ER,11,530d,8,142000,не битый,3,sedan,4,diesel,AT,4wd,black,,1450000,3.0,258,1
5ER,11,520i,8,137000,не битый,3,sedan,4,petrol,AT,rwd,white,,970000,2.0,184,1
1ER,9,116i,7,84000,не битый,3,hatchback,5,petrol,AT,rwd,white,,499000,1.6,136,1
3ER,19,318i,17,295000,не битый,3,sedan,4,petrol,MT,rwd,black,Базовая,320000,2.0,143,1
X3,10,20i,6,42390,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1400000,2.0,184,1
X6,8,35i,7,112000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1499000,3.0,306,1
3ER,15,325i,14,203000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,410000,2.5,218,1
7ER,22,740i,21,96000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,125000,4.4,286,1
X6,13,40d,10,75000,не битый,2,SUV,5,diesel,AT,4wd,dark_blue,Базовая,1489000,3.0,306,1
1ER,13,116i,12,270000,не битый,1,hatchback,5,petrol,AT,rwd,red,Базовая,480000,1.6,115,1
5ER,25,523i,22,369855,не битый,3,sedan,4,petrol,MT,rwd,grey,Базовая,250000,2.5,170,1
X5,17,None,15,191100,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,655000,3.0,231,1
5ER,18,525d,16,370000,не битый,3,sedan,4,diesel,AT,rwd,green,Базовая,500000,2.5,177,1
3ER,12,320i,7,116449,не битый,2,coupe,2,petrol,AT,rwd,dark_blue,SE,685000,2.0,156,1
M5,3,None,1,10000,не битый,2,sedan,4,petrol,AT,4wd,black,Базовая,6900000,4.4,625,1
3ER,22,328i,22,214000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,360000,2.8,193,1
X5,7,30d,4,74850,не битый,3,SUV,5,diesel,AT,4wd,white,M Sport,2790000,3.0,249,1
3ER,12,320i,10,200000,не битый,3,sedan,4,petrol,AT,rwd,black,SE,630000,2.0,156,1
8ER,2,M850i,1,70,не битый,1,cabriolet,2,petrol,AT,4wd,dark_blue,Base,8455000,4.4,530,1
M5,16,None,13,155459,не битый,3,sedan,4,petrol,AM,rwd,silver,Базовая,1500000,5.0,507,1
X3,14,25i,13,230000,не битый,3,SUV,5,petrol,AT,4wd,black,Lifestyle,550000,2.5,218,1
3ER,12,325xi,7,107167,не битый,2,coupe,2,petrol,AT,4wd,black,,998000,2.5,218,1
X6,8,None,7,177000,не битый,2,SUV,5,petrol,AT,4wd,dark_blue,,1590000,4.4,555,1
X6,13,35i,8,99824,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Базовая,1400000,3.0,306,1
X3,3,20i,1,22656,не битый,1,SUV,5,petrol,AT,4wd,black,Luxury,3033000,2.0,184,1
X5,7,25d,3,99000,не битый,1,SUV,5,diesel,AT,4wd,white,Business,2650000,3.0,218,1
5ER,11,528i,8,116000,не битый,1,sedan,4,petrol,AT,4wd,biege,Business,1100000,2.0,245,1
X5,14,None,12,196000,не битый,2,SUV,5,petrol,AT,4wd,biege,Базовая,890000,3.0,264,1
5ER,11,528i,9,178000,не битый,3,sedan,4,petrol,AT,rwd,grey,Luxury,950000,3.0,258,1
X5,7,25d,3,37507,не битый,1,SUV,5,diesel,AT,4wd,white,Business,2995000,3.0,218,1
1ER,9,116i,7,84000,не битый,3,hatchback,5,petrol,AT,rwd,white,,499000,1.6,136,1
5ER,4,530i,3,105000,не битый,1,sedan,4,petrol,AT,4wd,grey,Luxury,2500000,2.0,249,1
5ER,25,523i,22,431500,не битый,3,sedan,4,petrol,AT,rwd,green,,275000,2.5,170,1
X1,5,18i,3,100000,не битый,2,SUV,5,petrol,AT,fwd,black,,1470000,1.5,136,1
X5,14,30d,12,270000,не битый,2,SUV,5,diesel,AT,4wd,black,Базовая,1050000,3.0,235,1
3ER,9,320i,6,122400,не битый,3,sedan,4,petrol,AT,4wd,black,Sport,1299000,2.0,184,1
3ER,9,320i,5,110000,не битый,2,sedan,4,petrol,AT,4wd,black,Sport,1320000,2.0,184,1
